                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.87072,                 1.1234,                 1.0858,                0.41498,                0.33921,                0.31524,                0.21077,                 1.5563,                 2.2965,                 1.6294,              0.0001904,              0.0001904,              0.0001904
                    103,                0.86887,                 1.1321,                 1.0774,                 0.5521,                0.32283,                0.30959,                0.20172,                 1.5741,                 2.3495,                 1.6545,             0.00018993,             0.00018993,             0.00018993
                    104,                0.88195,                  1.105,                 1.0727,                0.55529,                0.32183,                0.29192,                0.19892,                 1.5029,                 2.4208,                 1.6323,             0.00018946,             0.00018946,             0.00018946
                    105,                0.86231,                 1.1177,                 1.0759,                0.54419,                0.29886,                0.28695,                0.18686,                  1.539,                 2.4281,                 1.6579,             0.00018899,             0.00018899,             0.00018899
                    106,                0.87175,                  1.076,                 1.0753,                0.52269,                0.30437,                0.31347,                0.19775,                 1.5509,                 2.3946,                 1.6581,             0.00018852,             0.00018852,             0.00018852
                    107,                0.86692,                 1.1206,                  1.068,                0.46605,                0.31303,                0.29754,                0.20092,                 1.5087,                 2.3853,                 1.6045,             0.00018805,             0.00018805,             0.00018805
                    108,                 0.8715,                 1.0825,                 1.0749,                0.45785,                0.31053,                0.30244,                0.19564,                 1.5368,                 2.2964,                 1.6476,             0.00018758,             0.00018758,             0.00018758
                    109,                0.87649,                 1.0952,                 1.0813,                0.50232,                0.29337,                0.29522,                 0.1921,                 1.5446,                 2.3108,                 1.6559,             0.00018711,             0.00018711,             0.00018711
                    110,                0.85207,                 1.1176,                 1.0971,                0.48216,                 0.3042,                0.28464,                0.18613,                 1.5277,                 2.3285,                 1.6225,             0.00018663,             0.00018663,             0.00018663
                    111,                0.86083,                 1.0787,                 1.0872,                0.46362,                0.29419,                0.28179,                0.18506,                 1.5607,                 2.3778,                  1.633,             0.00018616,             0.00018616,             0.00018616
                    112,                0.83169,                 1.0373,                 1.0557,                0.49132,                0.29686,                0.29428,                0.19762,                  1.541,                 2.3623,                 1.6188,             0.00018569,             0.00018569,             0.00018569
                    113,                0.84663,                 1.0527,                 1.0726,                 0.5166,                0.30553,                0.29758,                0.20179,                 1.5136,                 2.3327,                 1.6167,             0.00018522,             0.00018522,             0.00018522
                    114,                0.84161,                 1.0518,                 1.0611,                0.52909,                0.30557,                0.30541,                0.20565,                 1.5539,                 2.3205,                 1.6499,             0.00018475,             0.00018475,             0.00018475
                    115,                 0.8234,                 1.0063,                 1.0555,                 0.6047,                0.29299,                0.30435,                0.20017,                 1.5709,                 2.3103,                 1.6621,             0.00018428,             0.00018428,             0.00018428
                    116,                0.82633,                 1.0142,                 1.0697,                0.53707,                0.29204,                0.30018,                0.20247,                 1.5242,                 2.3234,                 1.6268,             0.00018381,             0.00018381,             0.00018381
                    117,                0.82885,                 1.0257,                 1.0724,                0.50733,                 0.3223,                0.28914,                 0.1945,                 1.5435,                 2.2894,                 1.6563,             0.00018334,             0.00018334,             0.00018334
                    118,                0.82607,                 1.0215,                  1.051,                0.54872,                0.33074,                 0.3023,                0.20303,                 1.5464,                  2.251,                 1.6443,             0.00018286,             0.00018286,             0.00018286
                    119,                0.81123,                 1.0005,                 1.0452,                0.58304,                0.31279,                0.29987,                0.20784,                 1.5213,                 2.2894,                 1.6307,             0.00018239,             0.00018239,             0.00018239
                    120,                0.85403,                 1.0482,                 1.0797,                0.48774,                0.32148,                0.31237,                0.20905,                 1.5334,                 2.2921,                 1.6538,             0.00018192,             0.00018192,             0.00018192
                    121,                0.84904,                 1.0168,                 1.0624,                0.46922,                0.31927,                0.32098,                0.20842,                 1.5737,                 2.3067,                 1.6779,             0.00018145,             0.00018145,             0.00018145
                    122,                0.82905,                 1.0121,                 1.0541,                 0.4235,                0.30834,                0.29404,                0.20362,                 1.5247,                 2.2748,                 1.6303,             0.00018098,             0.00018098,             0.00018098
